created_at,favorite_count,favorited,geo,hashtags,posicion,retweet_count,retweeted,source,text,user_location,user_name
Thu Dec 13 23:24:15 +0000 2018,0,False,,[],no,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","En Irlanda 🇮🇪, uno de los paises más católicos del mundo y que vedaba la posibilidad de legalizar la interrupción d… https://t.co/4rG8fYW6En","Buenos Aires, Argentina",Alejo Yaber 💚
Thu Dec 13 23:20:25 +0000 2018,0,False,,"['NiUnaMenos', 'ViolenciaDeGénero']",no,4,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AnccomNoticias: “El movimiento #NiUnaMenos, la visibilización a través de los medios de la #ViolenciaDeGénero, el debate del #AbortoLeg…",Buenos Aires,Mica Gentile 💚
Thu Dec 13 23:16:28 +0000 2018,0,False,,"['HablemosDeAborto', 'AbortoLegal']",no,1,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @entintavioleta: #HablemosDeAborto | El reclamo por el #AbortoLegal tiñó de verde a la fiesta del cine en México. Ocurrió en plena fiest…,,fernanda sebastian
Thu Dec 13 23:15:47 +0000 2018,0,False,,"['AbortoLegal', 'SeraLey']",no,1,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @paopic: Irlanda aprobó la legalización del aborto https://t.co/EUF2mBDiyK

#AbortoLegal #SeraLey",Argentina,Tamara Vitelli
Thu Dec 13 23:12:04 +0000 2018,0,False,,"['NiUnaMenos', 'ViolenciaDeGénero']",no,4,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnccomNoticias: “El movimiento #NiUnaMenos, la visibilización a través de los medios de la #ViolenciaDeGénero, el debate del #AbortoLeg…",Buenos Aires,Ale
Thu Dec 13 23:10:38 +0000 2018,0,False,,"['NiUnaMenos', 'ViolenciaDeGénero']",no,4,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnccomNoticias: “El movimiento #NiUnaMenos, la visibilización a través de los medios de la #ViolenciaDeGénero, el debate del #AbortoLeg…",,Perroloco
Thu Dec 13 23:09:40 +0000 2018,0,False,,"['NiUnaMenos', 'ViolenciaDeGénero']",no,4,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnccomNoticias: “El movimiento #NiUnaMenos, la visibilización a través de los medios de la #ViolenciaDeGénero, el debate del #AbortoLeg…",,FilFem - Feria del Libro Feminista
Thu Dec 13 23:09:00 +0000 2018,5,False,,"['NiUnaMenos', 'ViolenciaDeGénero']",no,4,False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","“El movimiento #NiUnaMenos, la visibilización a través de los medios de la #ViolenciaDeGénero, el debate del… https://t.co/PYrvAkTicd","Buenos Aires, Argentina.",Anccom
Thu Dec 13 23:06:47 +0000 2018,1,False,,"['AbortoLegal', 'SeraLey']",no,1,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Irlanda aprobó la legalización del aborto https://t.co/EUF2mBDiyK

#AbortoLegal #SeraLey","Buenos Aires, Argentina",PP💚
Thu Dec 13 23:03:24 +0000 2018,0,False,,"['Aborto', 'AbortoLegal']",no,15,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @moushes: Las tasas de #Aborto han disminuido de forma significativa en países con #AbortoLegal que han introducido la obligación de mos…,"Poza Rica de Hidalgo veracruz,",EVA ZEPETA HERNANDEZ
Thu Dec 13 23:03:07 +0000 2018,0,False,,['AbortoLegal'],no,13,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PieArgentina: Los q defienden el #AbortoLegal son peor q nazi. Eligieron al grupo mas indefenso y pretenden su exterminio. El caso de l…,Madre Tierra,Jize-re ₪ ø lll ·o. △
Thu Dec 13 22:59:46 +0000 2018,0,False,,[],no,8,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Aborto_LegalCol: Queremos seguir creciendo como campaña y vamos a iniciar nuestra vinculación con Cali, por lo que si deseas colaborar…",Argentina-Colombia,TheyCallmeWildRose
Thu Dec 13 22:59:38 +0000 2018,0,False,,"['SeVaCaer', 'AbortoLegal']",no,2,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @INFOnews: Aborto Legal: Aministía denunció casos de violencia por usar pañuelos verdes https://t.co/XoGCogj3mW #SeVaCaer #AbortoLegal #…,,Perroloco
Thu Dec 13 22:57:54 +0000 2018,0,False,,[],no,10,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @IsabelCabMan: Ya estamos en el Congreso. No a la inconstitucional modificación de los art. 2 y 4 que atenta vs. los derechos e integrid…,Un no-lugar cualquiera,Rach
Thu Dec 13 22:54:22 +0000 2018,0,False,,['AbortoLegal'],no,13,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PieArgentina: Los q defienden el #AbortoLegal son peor q nazi. Eligieron al grupo mas indefenso y pretenden su exterminio. El caso de l…,,Horacio Rubio
Thu Dec 13 22:47:12 +0000 2018,0,False,,[],no,2,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PlatformsGlobal: Another young rapevictim in El Salvador facing 20 year in jail - due to dracanonian abortionlaw that tagerts young wom…,Suchitoto - El Salvador,Plataforma Global
Thu Dec 13 22:42:12 +0000 2018,0,False,,[],no,4309,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GillianA: Adios Buenos Aires! Thank you thank you to everyone I met over the last couple days @ArgenComicCon for welcoming me so loving…,"Lomas de Zamora, Argentina",Silvina
Thu Dec 13 22:35:25 +0000 2018,0,False,,[],no,52,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LeandroFlocco: El otro día me indigne cuando @actrices_arg hizo de una denuncia tan dolorosa sobre un tema que nos afecta a todos (#Abu…,"Laguna Paiva, Santa Fe",Delia
