created_at,favorite_count,favorited,geo,hashtags,posicion,retweet_count,retweeted,source,text,user_location,user_name
Sat Dec 15 14:27:43 +0000 2018,0,False,,[],no,1,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Apaparaway: @mariafernet @ferwal60 @LANACION Es anti derechos pelear por quien no puede defenderse?

La que niega el derecho a la vida…",,ferwal60
Sat Dec 15 14:26:03 +0000 2018,0,False,,"['NoAlRacismo', 'NoALaXenofobia', 'siemprexlavida', 'NoAlAborto']",no,1,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Muy buenos días, lindo Sábado para todos...

#NoAlRacismo #NoALaXenofobia #siemprexlavida y #NoAlAborto con o sin apellidos.",Chile,Felipe Abalos
Sat Dec 15 14:25:59 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",Puerto Madryn,@CarlosA52057501
Sat Dec 15 14:23:15 +0000 2018,0,False,,"['NoALaIdeologiaDeGenero', 'NoAlAborto', 'SiALaVida']",no,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AnaValoy @MarioFiad @DiputadosAR. @SenadoArgentina El pueblo Argentino está de pié diciendo #NoALaIdeologiaDeGenero #NoAlAborto #SiALaVida,,Noemi Rebollo
Sat Dec 15 14:21:18 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Romeral, curicó, maule, chile",fasty olmos
Sat Dec 15 14:20:59 +0000 2018,0,False,,[],no,69,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Magdalena
Sat Dec 15 14:20:16 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…",,Noemi Rebollo
Sat Dec 15 14:18:05 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,gm
Sat Dec 15 14:18:00 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",Còrdoba-Argentina,JR BRUNE
Sat Dec 15 14:15:23 +0000 2018,0,False,,"['NoEsNo', 'NoAlAborto']",no,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#NoEsNo #NoAlAborto https://t.co/nVBaf5fUMV,Mediterráneo pero con faro,"Sí, nací. Pero no ayer. ✟ ✌🇦🇷"
Sat Dec 15 14:12:23 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Emilia-Romaña, Italia",Nestor Veronelli desde Italia
Sat Dec 15 14:10:35 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…","Río Gallegos, Argentina",Octavio Vallejos
Sat Dec 15 14:09:08 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…",,Yaneri
Sat Dec 15 14:07:52 +0000 2018,0,False,,['aborto'],no,66,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CaruNicole: Gracias a este SORETE en 2019 el #aborto va a ser ley, sin importar lo que digan los que lo votaron. Ya no hay vuelta atrás…","Bella Vista, BA, AR",Laura Ruartes
Sat Dec 15 14:03:13 +0000 2018,0,False,,['aborto'],no,66,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CaruNicole: Gracias a este SORETE en 2019 el #aborto va a ser ley, sin importar lo que digan los que lo votaron. Ya no hay vuelta atrás…","Córdoba, Argentina",Esteban Dante Gomez
Sat Dec 15 14:02:57 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,☽  ζŮηΛ  ♡
Sat Dec 15 14:02:02 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…",,Andres Stamati
Sat Dec 15 14:01:35 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Madryn_NR
Sat Dec 15 14:00:27 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…","Medellín, Colombia",Katherine Alfonso S.
Sat Dec 15 14:00:25 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",Ciudad Autónoma de Buenos Aire,Lautaro    periodist
Sat Dec 15 13:58:46 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",Vive y deja vivir,Gatawitch
Sat Dec 15 13:49:58 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Funes, Provincia de Santa Fe",Clau Martin💙💙💦💎
Sat Dec 15 13:48:56 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Su Fuentes
Sat Dec 15 13:48:56 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,victor
Sat Dec 15 13:46:27 +0000 2018,0,False,,[],no,69,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Celina Figueroa
Sat Dec 15 13:43:32 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Eröm 💙💙💙
Sat Dec 15 13:40:34 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…",,Pablo
Sat Dec 15 13:38:10 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…","Medellín, Antioquia",john giraldo
Sat Dec 15 13:34:05 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",cordoba,gustavo zavalla
Sat Dec 15 13:32:14 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",Argentina,Maj2609
Sat Dec 15 13:30:00 +0000 2018,0,False,,['aborto'],no,66,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CaruNicole: Gracias a este SORETE en 2019 el #aborto va a ser ley, sin importar lo que digan los que lo votaron. Ya no hay vuelta atrás…",,Whiscola
Sat Dec 15 13:23:59 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Villa Ballester, Argentina",Ruben . Junes
Sat Dec 15 13:22:24 +0000 2018,0,False,,"['ConMisHijosNoTeMetas', 'NoALaIdeologiaDeGenero', 'NoAlAborto', 'nofueley']",no,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#ConMisHijosNoTeMetas #NoALaIdeologiaDeGenero #NoAlAborto 
#nofueley https://t.co/IEz9pOabuw",,Silvana Andrea
Sat Dec 15 13:22:04 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",Yucatán Península,Claudia 🦋
Sat Dec 15 13:17:56 +0000 2018,0,False,,"['salta', 'BuenSabado', 'NoALaIdeologiaDeGenero', 'ConMisHijosNoTeMetas']",no,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hoy sabado 17hs plaza de la legislatura. #salta #BuenSabado #NoALaIdeologiaDeGenero #ConMisHijosNoTeMetas… https://t.co/pyAd7AiGH6,"Salta, Argentina",Pablo Gallardo
Sat Dec 15 13:15:59 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Santa Fé, Argentina",Pablo S. Buttarazzi
Sat Dec 15 13:12:00 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Cornelius
Sat Dec 15 13:09:16 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Córdoba, Argentina",Esteban Dante Gomez
Sat Dec 15 13:07:18 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…",,Cornelius
Sat Dec 15 13:01:29 +0000 2018,0,False,,[],no,2,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Bettsy33618216: @LANACION MI DECEPCIÓN ES ENORME!😵
Te defendí a morir, contra viento y marea! Hoy veo a alguien que no representa los v…","Buenos Aires, Argentina",Ariela Kamijo
Sat Dec 15 13:00:02 +0000 2018,0,False,,"['NoAlProtocoloDeLaMuerte', 'NoAlAborto']",no,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#NoAlProtocoloDeLaMuerte 

#NoAlAborto https://t.co/eASiulSYFJ","Buenos Aires, Argentina",Graciela Paske
Sat Dec 15 12:53:26 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…","Moreno, Argentina",leonardo paz
Sat Dec 15 12:52:44 +0000 2018,0,False,,['aborto'],no,66,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CaruNicole: Gracias a este SORETE en 2019 el #aborto va a ser ley, sin importar lo que digan los que lo votaron. Ya no hay vuelta atrás…",Peronia,💙 Iván 伊凡巴勃罗
Sat Dec 15 12:51:10 +0000 2018,2,False,,"['NoAlAborto', 'NoALaIdeologiaDeGenero']",no,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@edufeiok Perfecto. Promotoras de asesinato de niños en el vientre de sus madres. #NoAlAborto #NoALaIdeologiaDeGenero,,ferwal60
Sat Dec 15 12:47:09 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Elsa Parrilla Rey
Sat Dec 15 12:46:11 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,MARÍA VERÓNICA
Sat Dec 15 12:45:39 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,MACZ
Sat Dec 15 12:44:56 +0000 2018,0,False,,"['SanJuan', 'ProtocoloDeLaMuerte']",no,29,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @madresenred: #SanJuan ♥️ por la vida indefensa y ⚖️ para los médicos víctimas de la persecución política.
#ProtocoloDeLaMuerte 
#Salvem…",,Iris🌈
Sat Dec 15 12:41:46 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,Manu Rolon
Sat Dec 15 12:40:26 +0000 2018,0,False,,[],no,17,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: HOY a las 16 hs. todos al Congreso. Vamos a defender la vida, la familia, lis buenos valores y la sana educación de nues…",,Edgardo R Duarte
Sat Dec 15 12:31:39 +0000 2018,0,False,,[],no,69,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Patriesoprano: Quieren destruir la familia y legalizar la muerte de los hijos , por eso, mañana la parte sana de la Argentina que desea…",,nexium
